size,simple,parallel
1024,0.503,0.10640000000000001
4096,0.5222,0.09079999999999999
16384,0.6812,0.1714
65536,1.2204,0.18080000000000002
262144,3.6742,0.1728
1048576,55.6218,2.5436
4194304,56.72319999999999,8.4372
16777216,156.82319999999999,47.364799999999995
67108864,493.365,130.8556
268435456,3878.1103999999996,744.3366
