mode;threads;size;k;result;time
2;8;1048576;1234;2144928128;0.027125
1;2;1048576;1234;2144999650;0.016169
2;2;1048576;1234;2144999650;0.015238
1;4;1048576;1234;2144864816;0.023896
2;4;1048576;1234;2144864816;0.016948
1;6;1048572;1234;2144886140;0.036474
2;6;1048572;1234;2144886140;0.018031
1;8;1048576;1234;2144966922;0.026816
2;8;1048576;1234;2144966922;0.040797
1;2;1048576;1234;2144975433;0.019236
2;2;1048576;1234;2144975433;0.015413
1;4;1048576;1234;2144916548;0.016797
2;4;1048576;1234;2144916548;0.012728
1;6;1048572;1234;2144961444;0.011241
2;6;1048572;1234;2144961444;0.016985
1;8;1048576;1234;2144978804;0.037015
2;8;1048576;1234;2144978804;0.019619
1;2;4194304;1234;2146878724;0.046777
2;2;4194304;1234;2146878724;0.043028
1;4;4194304;1234;2146825565;0.076011
2;4;4194304;1234;2146825565;0.050469
1;6;4194300;1234;2146822859;0.089240
2;6;4194300;1234;2146822859;0.050164
1;8;4194304;1234;2146862330;0.111804
2;8;4194304;1234;2146862330;0.058003
1;2;4194304;1234;2146856743;0.034840
2;2;4194304;1234;2146856743;0.048997
1;4;4194304;1234;2146856935;0.093260
2;4;4194304;1234;2146856935;0.047237
1;6;4194300;1234;2146857361;0.063912
2;6;4194300;1234;2146857361;0.032463
1;8;4194304;1234;2146849665;0.127078
2;8;4194304;1234;2146849665;0.055303
1;2;4194304;1234;2146862349;0.068479
2;2;4194304;1234;2146862349;0.026810
1;4;4194304;1234;2146859727;0.099281
2;4;4194304;1234;2146859727;0.040455
1;6;4194300;1234;2146841151;0.037707
2;6;4194300;1234;2146841151;0.026081
1;8;4194304;1234;2146833248;0.098206
2;8;4194304;1234;2146833248;0.101137
1;2;4194304;1234;2146873044;0.022941
2;2;4194304;1234;2146873044;0.073956
1;4;4194304;1234;2146862654;0.077859
2;4;4194304;1234;2146862654;0.051041
1;6;4194300;1234;2146826027;0.110953
2;6;4194300;1234;2146826027;0.040065
1;8;4194304;1234;2146812133;0.209594
2;8;4194304;1234;2146812133;0.068051
1;2;4194304;1234;2146829384;0.070343
2;2;4194304;1234;2146829384;0.052840
1;4;4194304;1234;2146860186;0.066438
2;4;4194304;1234;2146860186;0.042763
1;6;4194300;1234;2146865135;0.041827
2;6;4194300;1234;2146865135;0.112897
1;8;4194304;1234;2146854571;0.135436
2;8;4194304;1234;2146854571;0.094638
1;2;16777216;1234;2147330168;0.195536
2;2;16777216;1234;2147330168;0.378169
1;4;16777216;1234;2147334308;0.065697
2;4;16777216;1234;2147334308;0.225371
1;6;16777212;1234;2147324523;0.393715
2;6;16777212;1234;2147324523;0.346284
1;8;16777216;1234;2147325114;0.140599
2;8;16777216;1234;2147325114;0.449050
1;2;16777216;1234;2147321465;0.322056
2;2;16777216;1234;2147321465;0.355178
1;4;16777216;1234;2147331933;0.267554
2;4;16777216;1234;2147331933;0.215637
1;6;16777212;1234;2147325489;0.387146
2;6;16777212;1234;2147325489;0.241828
1;8;16777216;1234;2147329188;0.358252
2;8;16777216;1234;2147329188;0.198287
1;2;16777216;1234;2147321010;0.079502
2;2;16777216;1234;2147321010;0.237756
1;4;16777216;1234;2147328410;0.066226
2;4;16777216;1234;2147328410;0.141167
1;6;16777212;1234;2147332443;0.290977
2;6;16777212;1234;2147332443;0.344661
1;8;16777216;1234;2147326433;0.498948
2;8;16777216;1234;2147326433;0.210333
1;2;16777216;1234;2147320001;0.130219
2;2;16777216;1234;2147320001;0.134611
1;4;16777216;1234;2147330363;0.211912
2;4;16777216;1234;2147330363;0.131987
1;6;16777212;1234;2147328451;0.402539
2;6;16777212;1234;2147328451;0.175417
1;8;16777216;1234;2147323981;0.362527
2;8;16777216;1234;2147323981;0.255891
1;2;16777216;1234;2147324960;0.273355
2;2;16777216;1234;2147324960;0.208350
1;4;16777216;1234;2147317499;0.356913
2;4;16777216;1234;2147317499;0.223299
1;6;16777212;1234;2147321477;0.395235
2;6;16777212;1234;2147321477;0.438910
1;8;16777216;1234;2147328559;0.555890
2;8;16777216;1234;2147328559;0.217213
1;2;67108864;1234;2147446252;0.465541
2;2;67108864;1234;2147446252;0.433331
1;4;67108864;1234;2147444277;0.185317
2;4;67108864;1234;2147444277;0.707112
1;6;67108860;1234;2147444561;0.733608
2;6;67108860;1234;2147444561;0.679458
1;8;67108864;1234;2147444385;1.252346
2;8;67108864;1234;2147444385;1.272001
1;2;67108864;1234;2147444150;0.277795
2;2;67108864;1234;2147444150;0.321757
1;4;67108864;1234;2147445685;0.760088
2;4;67108864;1234;2147445685;0.612170
1;6;67108860;1234;2147444364;0.618391
2;6;67108860;1234;2147444364;0.774436
1;8;67108864;1234;2147444209;2.010374
2;8;67108864;1234;2147444209;1.770807
1;2;67108864;1234;2147443133;0.339198
2;2;67108864;1234;2147443133;1.524000
1;4;67108864;1234;2147444883;0.383445
2;4;67108864;1234;2147444883;0.414779
1;6;67108860;1234;2147444591;0.552085
2;6;67108860;1234;2147444591;0.650089
1;8;67108864;1234;2147443216;1.911258
2;8;67108864;1234;2147443216;0.715436
1;2;67108864;1234;2147443595;0.611787
2;2;67108864;1234;2147443595;0.633019
1;4;67108864;1234;2147444956;0.608376
2;4;67108864;1234;2147444956;0.739697
1;6;67108860;1234;2147442290;1.668531
2;6;67108860;1234;2147442290;1.127914
1;8;67108864;1234;2147442141;1.580667
2;8;67108864;1234;2147442141;2.390087
1;2;67108864;1234;2147443778;0.251787
2;2;67108864;1234;2147443778;0.802949
1;4;67108864;1234;2147443710;0.346976
2;4;67108864;1234;2147443710;0.692395
1;6;67108860;1234;2147443284;1.277609
2;6;67108860;1234;2147443284;1.798156
1;8;67108864;1234;2147442764;1.180208
2;8;67108864;1234;2147442764;1.818148
1;2;268435456;1234;2147473918;0.966464
2;2;268435456;1234;2147473918;2.941326
1;4;268435456;1234;2147473687;4.426687
2;4;268435456;1234;2147473687;2.405849
1;6;268435452;1234;2147474029;3.474845
2;6;268435452;1234;2147474029;3.267528
1;8;268435456;1234;2147474156;9.849079
2;8;268435456;1234;2147474156;3.909022
1;2;268435456;1234;2147473372;4.182351
2;2;268435456;1234;2147473372;1.907425
1;4;268435456;1234;2147473624;4.243986
2;4;268435456;1234;2147473624;2.244830
1;6;268435452;1234;2147473868;2.291510
2;6;268435452;1234;2147473868;4.033669
1;8;268435456;1234;2147472973;7.369170
2;8;268435456;1234;2147472973;2.960666
1;2;268435456;1234;2147473504;0.701159
2;2;268435456;1234;2147473504;1.912104
